name,date_utc,success
FalconSat,2006-03-24T22:30:00.000Z,False
DemoSat,2007-03-21T01:10:00.000Z,False
Trailblazer,2008-08-03T03:34:00.000Z,False
RatSat,2008-09-28T23:15:00.000Z,True
RazakSat,2009-07-13T03:35:00.000Z,True
Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,True
COTS 1,2010-12-08T15:43:00.000Z,True
COTS 2,2012-05-22T07:44:00.000Z,True
CRS-1,2012-10-08T00:35:00.000Z,True
CRS-2,2013-03-01T19:10:00.000Z,True
CASSIOPE,2013-09-29T16:00:00.000Z,True
SES-8,2013-12-03T22:41:00.000Z,True
Thaicom 6,2014-01-06T18:06:00.000Z,True
CRS-3,2014-04-18T19:25:00.000Z,True
OG-2 Mission 1,2014-07-14T15:15:00.000Z,True
AsiaSat 8,2014-08-05T08:00:00.000Z,True
AsiaSat 6,2014-09-07T05:00:00.000Z,True
CRS-4,2014-09-21T05:52:00.000Z,True
CRS-5,2015-01-10T09:47:00.000Z,True
DSCOVR,2015-02-11T23:03:00.000Z,True
ABS-3A / Eutelsat 115W B,2015-03-02T03:50:00.000Z,True
CRS-6,2015-04-14T20:10:00.000Z,True
TürkmenÄlem 52°E / MonacoSAT,2015-04-27T23:03:00.000Z,True
CRS-7,2015-06-28T14:21:00.000Z,False
OG-2 Mission 2,2015-12-22T01:29:00.000Z,True
Jason 3,2016-01-17T15:42:00.000Z,True
SES-9,2016-03-04T23:35:00.000Z,True
CRS-8,2016-04-08T20:43:00.000Z,True
JCSAT-2B,2016-05-06T05:21:00.000Z,True
Thaicom 8,2016-05-27T21:39:00.000Z,True
ABS-2A / Eutelsat 117W B,2016-06-15T14:29:00.000Z,True
CRS-9,2016-07-18T04:45:00.000Z,True
JCSAT-16,2016-08-14T05:26:00.000Z,True
Amos-6,2016-09-01T13:07:00.000Z,False
Iridium NEXT Mission 1,2017-01-14T17:54:00.000Z,True
CRS-10,2017-02-19T14:39:00.000Z,True
EchoStar 23,2017-03-16T06:00:00.000Z,True
SES-10,2017-03-30T22:27:00.000Z,True
NROL-76,2017-05-01T11:15:00.000Z,True
Inmarsat-5 F4,2017-05-15T23:21:00.000Z,True
CRS-11,2017-06-03T21:07:00.000Z,True
BulgariaSat-1,2017-06-23T19:10:00.000Z,True
Iridium NEXT Mission 2,2017-06-25T20:25:00.000Z,True
Intelsat 35e,2017-07-05T23:35:00.000Z,True
CRS-12,2017-08-14T16:31:00.000Z,True
FormoSat-5,2017-08-24T18:50:00.000Z,True
Boeing X-37B OTV-5,2017-09-07T13:50:00.000Z,True
